"Source:","D:\KiCad\hat_pa30_r0.2\hat.pa30.kicad_sch"
"Date:","2024/10/23 16:53:36"
"Tool:","Eeschema 7.0.8"
"Generator:","D:\Program\KiCad7.0.8\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","98"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Height","Key","MPN","Manufacturer","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Option","Option ","Status"
"1","3","C1, C2, C4","104","Device:C","HERMESLITE:SMD-0603","~","","","","","","","","","","","","","","","","","",""
"2","3","C3, C205, C320","0.1uF","hermeslite:C_Small","HERMESLITE:SMD-0603","","","","","","","","","","","","","","","","","","",""
"3","1","C101","10pF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"4","2","C102, C315","100pF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"5","1","C103","10uF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"6","4","C201, C202, C203, C204","1uF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"7","10","C302, C303, C304, C305, C306, C310, C311, C317, C318, C319","0.1uF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"8","1","C307","5.6pF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"9","1","C308","30pF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"10","1","C309","20pF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"11","1","C313","82pF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"12","1","C314","110pF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"13","1","C316","68pF","hermeslite:C_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"14","4","C321, C322, C323, C324","4.7nF","hermeslite:C_Small","HERMESLITE:SMD-0603","","","","","","","","","","","","","","","","","DNI","",""
"15","2","CN1, CN2","SJ-3523-SMT-TR","Radioberry_LPF:SJ-3523-SMT-TR","HERMESLITE:CWJACK2","https://www.cui.com/product/resource/digikeypdf/sj-352x-smt_series.pdf","","Connectors, Interconnects","https://www.cui.com/product/resource/digikeypdf/sj-352x-smt_series.pdf","/product-detail/en/cui-inc/SJ-3523-SMT-TR/CP-3523SJCT-ND/669704","CONN JACK STEREO 3.5MM SMD R/A","CP-3523SJCT-ND","Barrel - Audio Connectors","","","SJ-3523-SMT-TR","CUI Inc.","","","","","","","Active"
"16","2","CN101, CN102","PS","hermeslite:CONN_01X02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","","","","","","","","","","","","","","",""
"17","1","D101","LED","Device:LED","LED_THT:LED_Rectangular_W3.0mm_H2.0mm","~","","","","","","","","","","","","","","","","","",""
"18","1","DB1","IO10","hermeslite:IO10","RB:PINHEAD_2X5","","","","","","","","","","","","","","","","","","",""
"19","1","FB301","FB","hermeslite:FB","HERMESLITE:SMD-0603","","","","","","","","","","","","","","","","","","",""
"20","3","J301, J302, J303","JNC","hermeslite:JNC","HERMESLITE:SMD-0603","","","","","","","","","","","","","","","","","","",""
"21","1","JP201","FEMALE_PINHEAD_PINHD-2X10","Radioberry:PINHEAD_PINHD-2X10","RB:PINHEAD_2X10","","","","","","","","","","","","","","","","","","",""
"22","1","L301","L_Small","hermeslite:L_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"23","1","L302","160nH","hermeslite:L_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"24","2","L303, L304","130nH","hermeslite:L_Small","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"25","4","MH1, MH2, MH3, MH4","DNI","hermeslite:TEST_1P","HERMESLITE:m3","","","","","","","","","","NOBOM","","","","","","","DNI","DNI",""
"26","2","Q201, Q202","NUD3124","hermeslite:MOSFET_N","HERMESLITE:SOT23_3","","","","","","","","","","","","","","","","","","",""
"27","1","Q203","MCP9700","hermeslite:MCP9700","HERMESLITE:SOT23_3","","","","","","","","","","","","","","","","","","",""
"28","2","R1, R2","560","Device:R","HERMESLITE:SMD-0603","~","","","","","","","","","","","","","","","","","",""
"29","2","R3, R4","0.04","hermeslite:R","HERMESLITE:SMD-1206","","","","","","","","","","","","","","","","","","",""
"30","2","R5, R6","0","Device:R","HERMESLITE:SMD-0603","~","","","","","","","","","","","","","","","","","",""
"31","1","R101","1.8k","Device:R","HERMESLITE:SMD-0603","~","","","","","","","","","","","","","","","","","",""
"32","4","R201, R202, R205, R206","2.2K","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"33","4","R203, R204, R207, R208","100","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"34","2","R209, R210","4.7K","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"35","2","R304, R316","510","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"36","2","R305, R317","1K","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"37","2","R306, R314","12","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"38","2","R307, R315","4R99","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"39","3","R308, R312, R313","0","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","DNI","",""
"40","1","R310","300","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"41","1","R311","200","hermeslite:R","HERMESLITE:SMD-0805","","","","","","","","","","","","","","","","","","",""
"42","4","R318, R319, R320, R321","1K","hermeslite:R","HERMESLITE:SMD-0603","","","","","","","","","","","","","","","","","DNI","",""
"43","1","R322","270","hermeslite:R","HERMESLITE:SMD-0603","","","","","","","","","","","","","","","","","","",""
"44","2","RF1, RF304","SMA","hermeslite:BNC","HERMESLITE:SMAEDGE_THFULL_L","","","","","","","","","","","","","","","","","","",""
"45","1","T301","TC4-1T","hermeslite:TRANSF4CT","tc4-1t:TC41T","","","","","","","","","","","","","","","","","","",""
"46","1","T302","ADT1.5-1+","ADT1.5-1+:ADT1.5-1+","ADT1.5-1+:ADT151","https://www.minicircuits.com/pdfs/ADT1.5-1.pdf","","","","","Audio Transformers / Signal Transformers RF XFMR / SURF MOUNT / RoHS 50 0.5 to 650 MHz","","","2.84","","","","Mini-Circuits","ADT1.5-1+","139-ADT1.5-1","https://www.mouser.co.uk/ProductDetail/Mini-Circuits/ADT1.5-1%2b?qs=xZ%2FP%252Ba9zWqaiA7HsYCvAPA%3D%3D","","",""
"47","1","U1","INA199A1DC","hermeslite:INA199x1","HERMESLITE:PE4259","","","","","","","","","","","","","","","","","","",""
"48","1","U301","OPA2674","hermeslite:LM358","OPA2674:SOIC127P600X175-8N","ns/lm158.pdf","","","","","","","","","","","","","","","","","",""
"49","1","U304","MAX11613","hermeslite:MAX11613","HERMESLITE:MAX11613","DOCUMENTATION","","","","","","","","","","","","","","","","","",""
